[2013-10-29 22:07:13] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:08:45] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:12:14] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:14:06] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:15:09] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:15:09] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:15:09] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:16:15] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:17:34] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:17:34] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:17:34] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:18:05] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:18:10] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:19:03] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:19:03] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:19:40] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: -1
[2013-10-29 22:19:41] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:19:41] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:19:41] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:19:53] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:19:53] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:20:55] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:21:18] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 1
[2013-10-29 22:21:37] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 1
[2013-10-29 22:21:37] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:21:37] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:21:46] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:22:23] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:22:38] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:22:38] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:23:15] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: -1
[2013-10-29 22:23:15] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:23:15] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:23:44] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 1
[2013-10-29 22:23:44] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:23:44] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:23:57] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-29 22:23:57] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
